               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045105,            0.067913,            0.016843,             0.68808,             0.60519,             0.68117,             0.45081,            0.041235,            0.037849,            0.010543,              0.0937,              0.0007,              0.0007
                   1,            0.044327,            0.057566,            0.017908,             0.75621,             0.62709,             0.72824,             0.47489,            0.040564,            0.036603,           0.0091639,            0.086495,            0.001495,            0.001495
                   2,            0.046115,            0.066167,            0.017764,             0.81085,              0.6496,             0.74889,             0.48751,            0.040139,            0.035895,           0.0083475,            0.079285,           0.0022848,           0.0022848
                   3,            0.044844,            0.059477,            0.017161,             0.77293,             0.68299,             0.76376,             0.50224,            0.040178,            0.035615,           0.0073318,            0.072069,           0.0030693,           0.0030693
                   4,            0.045777,            0.057126,             0.01543,             0.80773,             0.67931,             0.78067,             0.47975,            0.042059,            0.035106,           0.0064905,            0.064849,           0.0038485,           0.0038485
                   5,            0.043507,            0.059558,             0.01242,             0.76189,             0.72458,             0.79617,             0.49765,            0.042979,            0.034364,           0.0061481,            0.057622,           0.0046225,           0.0046225
                   6,            0.046844,            0.056473,            0.013488,             0.78536,             0.71821,             0.78492,             0.50725,            0.043577,            0.033376,           0.0062578,            0.050391,           0.0053911,           0.0053911
                   7,            0.048282,            0.056075,            0.011273,             0.74833,             0.75853,             0.79306,             0.47752,            0.045349,            0.031996,           0.0053574,            0.043154,           0.0061545,           0.0061545
                   8,            0.050451,            0.055955,            0.012202,             0.73139,             0.73003,             0.78467,             0.47334,            0.047659,            0.031304,           0.0050993,            0.035913,           0.0069126,           0.0069126
                   9,            0.048275,            0.054619,            0.011887,             0.75686,             0.72947,             0.79416,             0.49615,            0.045904,            0.031237,           0.0050883,            0.028665,           0.0076654,           0.0076654
                  10,            0.045801,            0.052985,            0.011973,             0.74374,             0.75386,             0.79758,              0.5194,             0.04604,            0.030447,           0.0049541,            0.021413,           0.0084129,           0.0084129
                  11,            0.050122,            0.054311,            0.010593,             0.68177,             0.75653,             0.76998,             0.47569,            0.048298,            0.030356,           0.0047783,            0.014155,           0.0091552,           0.0091552
                  12,            0.048164,            0.058501,            0.010386,             0.73475,             0.76448,             0.80805,              0.5273,            0.043495,            0.030546,           0.0049295,            0.009604,            0.009604,            0.009604
                  13,            0.045094,            0.050523,            0.011279,              0.7619,             0.75404,             0.79986,             0.52291,             0.04388,            0.029648,           0.0051411,            0.009604,            0.009604,            0.009604
                  14,            0.046166,            0.049181,            0.010859,              0.8116,             0.75669,             0.83088,             0.50005,            0.045099,            0.029561,           0.0048689,            0.009571,            0.009571,            0.009571
                  15,            0.047001,            0.050948,            0.010552,             0.80968,             0.78211,             0.82937,             0.51214,              0.0442,            0.029185,           0.0047309,            0.009538,            0.009538,            0.009538
                  16,            0.044261,            0.045553,            0.009422,             0.81515,             0.73578,             0.82948,             0.51347,            0.042847,            0.029572,           0.0047989,            0.009505,            0.009505,            0.009505
                  17,            0.043862,            0.056025,            0.010777,             0.80176,             0.76677,             0.83743,             0.53755,            0.042204,            0.029316,           0.0043945,            0.009472,            0.009472,            0.009472
                  18,            0.045763,            0.051474,            0.010258,             0.75737,             0.77096,             0.84222,             0.50823,            0.043132,            0.030291,           0.0046999,            0.009439,            0.009439,            0.009439
                  19,            0.044704,            0.049653,           0.0095029,             0.79847,             0.74006,             0.80438,             0.47705,            0.046534,            0.029762,           0.0048457,            0.009406,            0.009406,            0.009406
                  20,            0.045396,             0.04572,           0.0099156,             0.80769,             0.79509,             0.85496,             0.53695,            0.041426,            0.028447,           0.0042148,            0.009373,            0.009373,            0.009373
                  21,            0.044457,             0.05267,           0.0095236,             0.81421,             0.79796,             0.87209,             0.53751,            0.041198,            0.028052,            0.003906,             0.00934,             0.00934,             0.00934
                  22,            0.043604,            0.044904,           0.0089426,             0.84011,             0.78621,             0.87356,             0.54372,            0.042572,            0.028495,             0.00378,            0.009307,            0.009307,            0.009307
                  23,             0.04303,             0.04981,           0.0095941,              0.8642,             0.77851,             0.87033,             0.56872,            0.041027,             0.02793,           0.0036852,            0.009274,            0.009274,            0.009274
                  24,            0.042817,            0.053842,           0.0080421,             0.80739,             0.81941,              0.8734,             0.54415,            0.041157,            0.028256,           0.0036765,            0.009241,            0.009241,            0.009241
                  25,            0.043975,            0.044941,           0.0078774,             0.85696,             0.75361,             0.85912,             0.53034,            0.040341,            0.028282,           0.0040536,            0.009208,            0.009208,            0.009208
                  26,            0.043818,            0.050299,           0.0089182,             0.81181,             0.80789,             0.86072,             0.54634,            0.042257,            0.027665,           0.0036242,            0.009175,            0.009175,            0.009175
                  27,            0.043663,             0.04715,           0.0083873,             0.85254,             0.79081,             0.86662,             0.53645,            0.042036,            0.027798,           0.0036061,            0.009142,            0.009142,            0.009142
                  28,            0.043333,             0.04617,           0.0076666,             0.85879,              0.7762,             0.86317,             0.55359,            0.041911,            0.026938,           0.0035741,            0.009109,            0.009109,            0.009109
                  29,            0.045511,            0.049115,           0.0089912,             0.85653,             0.79614,             0.87134,             0.56652,            0.038742,            0.026466,           0.0035558,            0.009076,            0.009076,            0.009076
                  30,            0.041062,            0.046644,           0.0080004,             0.83039,             0.78898,             0.85449,             0.52317,            0.041662,            0.026817,           0.0034701,            0.009043,            0.009043,            0.009043
                  31,            0.043472,            0.042793,           0.0083777,             0.85159,             0.79016,             0.86267,             0.55741,            0.040885,             0.02654,           0.0035285,             0.00901,             0.00901,             0.00901
                  32,            0.043862,            0.043304,           0.0086555,             0.83867,             0.79192,             0.87025,             0.54808,            0.040451,            0.026683,           0.0035528,            0.008977,            0.008977,            0.008977
                  33,              0.0423,            0.044067,           0.0081918,             0.81909,             0.79895,             0.87747,             0.56196,            0.041222,            0.026071,           0.0036114,            0.008944,            0.008944,            0.008944
                  34,            0.042326,            0.049107,           0.0080031,             0.82957,             0.83486,              0.8915,             0.57458,             0.04012,            0.026621,           0.0037259,            0.008911,            0.008911,            0.008911
                  35,            0.042251,            0.047972,            0.007942,             0.82912,               0.842,             0.89246,             0.57228,            0.039737,            0.025766,           0.0036393,            0.008878,            0.008878,            0.008878
                  36,             0.04211,            0.043868,           0.0073113,             0.84718,             0.82674,             0.89515,             0.55724,            0.039676,            0.025789,           0.0035442,            0.008845,            0.008845,            0.008845
                  37,            0.040459,            0.047869,           0.0075078,             0.85324,             0.80989,             0.88371,             0.58814,            0.037584,             0.02704,           0.0040478,            0.008812,            0.008812,            0.008812
                  38,            0.041277,            0.046713,           0.0078219,             0.79812,             0.83343,             0.88069,             0.55997,            0.039043,            0.025584,           0.0035861,            0.008779,            0.008779,            0.008779
                  39,            0.039793,            0.043455,           0.0077132,             0.84052,             0.82819,             0.88352,             0.58192,            0.038354,            0.025108,           0.0035732,            0.008746,            0.008746,            0.008746
                  40,            0.042532,            0.046928,           0.0076843,             0.83444,             0.84888,             0.88352,             0.60357,            0.036372,            0.024633,           0.0035025,            0.008713,            0.008713,            0.008713
                  41,            0.039899,            0.045472,           0.0071882,             0.80689,             0.85509,             0.88944,             0.57663,            0.038327,            0.024661,           0.0034468,             0.00868,             0.00868,             0.00868
                  42,            0.042114,            0.046564,           0.0083375,             0.86236,             0.84728,              0.8974,             0.59641,            0.038289,            0.024557,            0.003343,            0.008647,            0.008647,            0.008647
                  43,            0.041245,            0.048428,           0.0072499,             0.88014,             0.83813,             0.90234,             0.60058,            0.036651,            0.024363,           0.0032848,            0.008614,            0.008614,            0.008614
                  44,            0.039836,            0.043115,           0.0074202,             0.88898,             0.85574,             0.91473,              0.6221,            0.035752,             0.02449,           0.0032216,            0.008581,            0.008581,            0.008581
                  45,            0.038878,             0.04252,           0.0063196,             0.87944,             0.85264,             0.91487,             0.62214,            0.035639,            0.024103,           0.0030943,            0.008548,            0.008548,            0.008548
                  46,            0.039935,            0.049573,           0.0062655,             0.87375,             0.84072,              0.9087,             0.60179,            0.036874,            0.025433,            0.003108,            0.008515,            0.008515,            0.008515
                  47,            0.041454,            0.042334,           0.0067737,             0.88036,             0.83695,             0.91054,             0.60534,            0.035969,            0.024457,            0.003001,            0.008482,            0.008482,            0.008482
