               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11287,            0.029677,                   0,           0.0032157,             0.95349,            0.051785,            0.012541,             0.10807,             0.01449,                   0,              0.0883,              0.0013,              0.0013
                   1,            0.084923,            0.024695,                   0,             0.48968,             0.52326,             0.57044,             0.22034,            0.048305,            0.012014,                   0,            0.075691,           0.0026911,           0.0026911
                   2,            0.070318,            0.020158,                   0,             0.46705,             0.74419,             0.57287,             0.23509,            0.052738,           0.0097079,                   0,            0.063073,           0.0040729,           0.0040729
                   3,            0.063145,            0.018198,                   0,             0.42461,             0.80233,             0.53538,             0.20662,             0.05446,           0.0072329,                   0,            0.050446,           0.0054456,           0.0054456
                   4,             0.05818,            0.017457,                   0,             0.91376,             0.82558,             0.93176,             0.41682,             0.04418,           0.0062332,                   0,            0.037809,           0.0068089,           0.0068089
                   5,            0.054239,            0.015947,                   0,             0.76262,             0.82558,             0.85362,             0.37309,            0.041849,           0.0065615,                   0,            0.025163,            0.008163,            0.008163
                   6,            0.050152,            0.015507,                   0,             0.79752,              0.7093,             0.82581,             0.48202,            0.034124,           0.0060608,                   0,            0.012508,           0.0095079,           0.0095079
                   7,            0.046921,            0.015392,                   0,             0.53975,             0.77907,             0.60292,             0.27916,            0.036148,           0.0071924,                   0,            0.009769,            0.009769,            0.009769
                   8,            0.044646,            0.015073,                   0,             0.54106,             0.68605,             0.61527,             0.31788,             0.03815,           0.0087242,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.042441,            0.014238,                   0,             0.49692,             0.56977,             0.49047,             0.22068,             0.05067,           0.0082567,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.042775,            0.013369,                   0,             0.74401,             0.81111,             0.81004,             0.41941,            0.036612,           0.0064394,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.039776,            0.013991,                   0,             0.74718,              0.7093,             0.72624,             0.38666,            0.034974,           0.0076365,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.039338,            0.013474,                   0,             0.80893,             0.62791,              0.7488,             0.40933,            0.036612,           0.0084789,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.040031,            0.013567,                   0,             0.46358,             0.66279,             0.47216,             0.22764,            0.034407,           0.0094421,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.036785,            0.012917,                   0,             0.64861,             0.67442,             0.62052,             0.34801,            0.035564,           0.0074072,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.037512,            0.012973,                   0,             0.77464,             0.77907,             0.80555,              0.4462,            0.027784,           0.0060959,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.037127,            0.013064,                   0,             0.74353,             0.70794,             0.75968,             0.43011,            0.034311,           0.0068359,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.038099,             0.01275,                   0,             0.74921,              0.7907,             0.83042,             0.48234,            0.033627,           0.0065577,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.035784,            0.012546,                   0,             0.72236,             0.74419,               0.812,               0.498,            0.026341,           0.0070205,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.035793,            0.012338,                   0,             0.59797,                 0.5,              0.5393,             0.24038,            0.037299,           0.0077674,                   0,            0.009406,            0.009406,            0.009406
                  20,               0.034,            0.012205,                   0,             0.73879,             0.72093,             0.73352,             0.39169,            0.027572,           0.0075309,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.033795,            0.011615,                   0,             0.82015,             0.75581,             0.79525,             0.39966,             0.03098,           0.0069692,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.033111,            0.011794,                   0,             0.87212,             0.71374,             0.82934,             0.50905,            0.030824,           0.0068359,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.033305,            0.011694,                   0,              0.8241,              0.7082,             0.78715,              0.5094,            0.034438,           0.0062582,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.032452,            0.011276,                   0,             0.89065,             0.85239,             0.91971,              0.5327,            0.023647,            0.005805,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.032986,            0.011332,                   0,             0.86554,             0.89824,             0.90221,             0.55749,             0.02438,           0.0060463,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.032485,            0.011371,                   0,             0.93653,             0.85784,             0.92729,             0.63613,            0.020607,           0.0052238,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.031025,            0.011106,                   0,             0.90136,             0.74377,             0.86491,             0.54365,            0.024786,           0.0059514,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.031717,             0.01105,                   0,             0.89108,             0.82558,             0.91667,             0.60201,            0.029154,           0.0060489,                   0,            0.009109,            0.009109,            0.009109
                  29,             0.03134,            0.011078,                   0,             0.74298,             0.93023,             0.90278,             0.56581,              0.0278,           0.0061932,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.032656,            0.011266,                   0,             0.76457,             0.75581,              0.7664,             0.42937,            0.034231,           0.0070381,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.030869,            0.010908,                   0,             0.88002,             0.83721,             0.89617,             0.60466,            0.028026,           0.0058494,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.030007,            0.010501,                   0,             0.76454,             0.83067,             0.84725,             0.52343,            0.031118,           0.0062771,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.029866,            0.010472,                   0,             0.88411,             0.88708,              0.8986,             0.58615,            0.029463,           0.0061584,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.029944,            0.010668,                   0,             0.87634,             0.87209,             0.91612,              0.6389,            0.027521,           0.0051816,                   0,            0.008911,            0.008911,            0.008911
