               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11267,            0.021704,                   0,           0.0043424,             0.90698,            0.045735,           0.0091261,             0.10658,            0.010862,                   0,              0.0883,              0.0013,              0.0013
                   1,            0.086494,            0.020025,                   0,             0.48305,             0.61628,             0.56012,             0.23735,            0.050764,           0.0083385,                   0,            0.075699,           0.0026992,           0.0026992
                   2,            0.071816,            0.017689,                   0,             0.60117,             0.70111,              0.6697,             0.29445,            0.044439,           0.0090962,                   0,            0.063098,           0.0040975,           0.0040975
                   3,            0.063693,            0.016806,                   0,             0.58046,             0.67442,             0.64223,             0.29694,            0.041743,           0.0081259,                   0,            0.050495,            0.005495,            0.005495
                   4,            0.058566,            0.014629,                   0,             0.81661,             0.84884,             0.88066,             0.46194,            0.034482,           0.0053277,                   0,            0.037892,           0.0068917,           0.0068917
                   5,            0.056027,            0.014791,                   0,             0.60464,             0.81805,             0.69864,             0.39772,            0.035613,           0.0060313,                   0,            0.025288,           0.0082875,           0.0082875
                   6,             0.05363,            0.013732,                   0,             0.81956,             0.73943,             0.81106,             0.34845,            0.035423,           0.0054157,                   0,            0.012683,           0.0096825,           0.0096825
                   7,            0.050665,            0.012907,                   0,             0.55314,             0.53488,              0.5124,             0.17015,            0.047138,           0.0050944,                   0,            0.009979,            0.009979,            0.009979
                   8,            0.050758,            0.012721,                   0,             0.56992,             0.55814,             0.54094,             0.22834,            0.042516,           0.0055116,                   0,            0.009979,            0.009979,            0.009979
                   9,            0.048507,            0.011706,                   0,             0.65542,             0.70778,             0.72078,             0.37429,            0.036054,           0.0054544,                   0,            0.009976,            0.009976,            0.009976
                  10,            0.045959,            0.011893,                   0,             0.63359,             0.68605,             0.62081,             0.30805,            0.034221,           0.0050455,                   0,            0.009973,            0.009973,            0.009973
                  11,            0.045199,            0.011921,                   0,             0.71582,              0.8787,             0.83628,             0.45725,            0.032695,           0.0042778,                   0,             0.00997,             0.00997,             0.00997
                  12,            0.046059,            0.012101,                   0,             0.72045,             0.74921,             0.79381,             0.37669,             0.03012,           0.0051762,                   0,            0.009967,            0.009967,            0.009967
                  13,            0.044669,            0.011703,                   0,             0.69052,             0.75581,             0.74777,             0.35322,            0.030686,           0.0045196,                   0,            0.009964,            0.009964,            0.009964
                  14,            0.042889,            0.011692,                   0,             0.61783,              0.7093,             0.68268,             0.35062,             0.03342,           0.0058872,                   0,            0.009961,            0.009961,            0.009961
                  15,            0.042967,             0.01066,                   0,             0.56908,             0.62791,             0.63061,             0.32067,            0.031024,           0.0054227,                   0,            0.009958,            0.009958,            0.009958
                  16,            0.041026,            0.011191,                   0,             0.67851,             0.61355,             0.65091,             0.32012,            0.037265,           0.0051662,                   0,            0.009955,            0.009955,            0.009955
                  17,            0.042198,            0.011185,                   0,             0.78681,             0.74419,              0.7909,             0.42931,            0.032479,            0.005297,                   0,            0.009952,            0.009952,            0.009952
                  18,            0.041703,            0.011105,                   0,             0.83184,             0.86284,             0.85598,             0.52441,            0.024541,           0.0042456,                   0,            0.009949,            0.009949,            0.009949
                  19,            0.039749,            0.010916,                   0,              0.7677,             0.84542,             0.85355,             0.48775,            0.030641,           0.0042733,                   0,            0.009946,            0.009946,            0.009946
                  20,            0.040714,             0.01081,                   0,             0.79233,             0.80233,             0.83929,             0.49149,            0.032385,           0.0044616,                   0,            0.009943,            0.009943,            0.009943
                  21,            0.039164,            0.010789,                   0,             0.72475,             0.67359,             0.79065,             0.48351,            0.028151,           0.0042895,                   0,             0.00994,             0.00994,             0.00994
                  22,            0.038361,            0.010703,                   0,              0.7246,             0.86047,             0.86115,             0.56644,            0.029838,           0.0037911,                   0,            0.009937,            0.009937,            0.009937
                  23,            0.039525,            0.010929,                   0,             0.76728,             0.75581,             0.82385,             0.52704,            0.029139,           0.0042661,                   0,            0.009934,            0.009934,            0.009934
                  24,             0.03843,            0.010263,                   0,             0.82701,             0.77907,             0.84771,              0.5657,             0.02697,           0.0041798,                   0,            0.009931,            0.009931,            0.009931
                  25,             0.03744,            0.010231,                   0,             0.70669,             0.77907,             0.80608,             0.45939,            0.026353,            0.004653,                   0,            0.009928,            0.009928,            0.009928
                  26,            0.037049,            0.010626,                   0,             0.90521,             0.77728,             0.89308,              0.5312,            0.023415,           0.0044852,                   0,            0.009925,            0.009925,            0.009925
                  27,            0.039083,           0.0098163,                   0,             0.78043,              0.8266,             0.82428,             0.48485,            0.025689,           0.0044025,                   0,            0.009922,            0.009922,            0.009922
                  28,            0.038948,             0.01051,                   0,             0.82633,             0.77907,             0.83106,             0.46478,            0.034368,           0.0044802,                   0,            0.009919,            0.009919,            0.009919
