               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.018157,           0.0060037,                   0,             0.97574,             0.96512,             0.98335,             0.79531,            0.013415,           0.0029926,                   0,              0.0753,              0.0013,              0.0013
                   1,            0.017949,           0.0058529,                   0,             0.98789,             0.94838,             0.98499,             0.79362,            0.013276,           0.0029301,                   0,            0.049626,           0.0026262,           0.0026262
                   2,            0.019681,           0.0059201,                   0,              0.9617,             0.96512,              0.9834,             0.78602,            0.013823,           0.0030838,                   0,            0.023928,            0.003928,            0.003928
                   3,            0.018266,           0.0060603,                   0,             0.94257,             0.95415,             0.97827,             0.78621,            0.014456,           0.0028293,                   0,            0.004865,            0.004865,            0.004865
                   4,            0.017733,           0.0056035,                   0,              0.9412,             0.96512,             0.98202,             0.77296,             0.01364,           0.0030123,                   0,            0.004865,            0.004865,            0.004865
                   5,            0.018882,           0.0057752,                   0,             0.92961,             0.96512,             0.98191,             0.74586,            0.014411,           0.0032719,                   0,             0.00482,             0.00482,             0.00482
                   6,            0.018599,           0.0057893,                   0,             0.97253,              0.9186,             0.97172,             0.76306,            0.015134,           0.0034471,                   0,            0.004775,            0.004775,            0.004775
                   7,            0.017866,           0.0057234,                   0,             0.96401,             0.93451,              0.9695,             0.75642,            0.017152,           0.0032709,                   0,             0.00473,             0.00473,             0.00473
                   8,            0.018331,           0.0055298,                   0,             0.98762,              0.9275,             0.97327,              0.7465,            0.015976,           0.0033284,                   0,            0.004685,            0.004685,            0.004685
                   9,            0.019279,           0.0056622,                   0,             0.98763,             0.92856,             0.97778,             0.75797,            0.015454,           0.0034541,                   0,             0.00464,             0.00464,             0.00464
                  10,            0.018321,           0.0055959,                   0,             0.96417,             0.94186,             0.97948,             0.76879,            0.014989,           0.0032102,                   0,            0.004595,            0.004595,            0.004595
                  11,            0.018281,           0.0054107,                   0,              0.9834,             0.97674,             0.98392,             0.76098,             0.01646,           0.0033413,                   0,             0.00455,             0.00455,             0.00455
                  12,            0.020093,            0.006217,                   0,             0.96819,             0.94186,             0.98354,             0.76181,            0.017062,           0.0034658,                   0,            0.004505,            0.004505,            0.004505
                  13,            0.018903,            0.005994,                   0,             0.96768,             0.89535,             0.96947,             0.75576,            0.015288,           0.0037894,                   0,             0.00446,             0.00446,             0.00446
                  14,            0.018317,           0.0057482,                   0,             0.97485,             0.90164,             0.97447,             0.77764,            0.014789,           0.0034125,                   0,            0.004415,            0.004415,            0.004415
                  15,            0.018286,            0.005599,                   0,             0.97556,             0.92815,             0.97743,             0.76032,            0.015057,           0.0034556,                   0,             0.00437,             0.00437,             0.00437
                  16,            0.018574,           0.0055888,                   0,             0.93962,             0.90474,             0.96288,             0.75335,              0.0164,           0.0035785,                   0,            0.004325,            0.004325,            0.004325
                  17,            0.017065,           0.0055779,                   0,             0.94811,             0.95349,             0.98077,             0.75955,            0.015229,           0.0035208,                   0,             0.00428,             0.00428,             0.00428
                  18,            0.018627,           0.0058639,                   0,             0.97554,             0.92738,             0.97718,             0.76264,              0.0153,            0.003416,                   0,            0.004235,            0.004235,            0.004235
                  19,            0.018075,           0.0057991,                   0,             0.96075,             0.90698,             0.97283,             0.74912,            0.014308,           0.0036546,                   0,             0.00419,             0.00419,             0.00419
                  20,            0.018656,           0.0058293,                   0,             0.96921,              0.9186,             0.97178,             0.77229,             0.01408,           0.0033139,                   0,            0.004145,            0.004145,            0.004145
                  21,            0.018396,           0.0062517,                   0,             0.94483,             0.97674,             0.98107,             0.76829,            0.014642,           0.0032266,                   0,              0.0041,              0.0041,              0.0041
                  22,            0.018814,           0.0060043,                   0,             0.92136,             0.95359,              0.9778,             0.76506,            0.013867,           0.0032485,                   0,            0.004055,            0.004055,            0.004055
                  23,            0.018016,           0.0059604,                   0,             0.92995,             0.92617,             0.97437,             0.74387,            0.014776,           0.0034983,                   0,             0.00401,             0.00401,             0.00401
                  24,            0.018307,           0.0057982,                   0,             0.92857,             0.90698,             0.95552,             0.75273,            0.016021,           0.0037255,                   0,            0.003965,            0.003965,            0.003965
