               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.018155,           0.0060041,                   0,             0.97645,             0.96442,             0.98336,             0.79567,            0.013435,           0.0029861,                   0,              0.0753,              0.0013,              0.0013
                   1,            0.017902,           0.0058497,                   0,             0.98803,             0.95986,             0.98473,             0.78575,            0.013379,            0.002919,                   0,            0.049642,            0.002642,            0.002642
                   2,            0.019428,           0.0058823,                   0,              0.9606,             0.97674,             0.98434,             0.80362,            0.013574,           0.0030321,                   0,            0.023976,            0.003976,            0.003976
                   3,            0.017948,           0.0060014,                   0,             0.96423,             0.94032,               0.982,              0.7917,            0.013977,           0.0028528,                   0,            0.004955,            0.004955,            0.004955
                   4,            0.017168,           0.0054922,                   0,             0.95031,             0.97674,             0.98302,              0.8003,            0.013181,           0.0029259,                   0,            0.004955,            0.004955,            0.004955
                   5,            0.017969,           0.0056061,                   0,              0.9878,             0.94114,             0.98411,             0.78244,              0.0133,           0.0029469,                   0,             0.00494,             0.00494,             0.00494
                   6,            0.017555,           0.0055396,                   0,             0.96835,             0.96512,              0.9842,             0.78645,            0.013953,           0.0030959,                   0,            0.004925,            0.004925,            0.004925
                   7,            0.016858,           0.0054843,                   0,             0.98672,             0.95349,             0.98435,             0.79374,            0.014097,            0.002979,                   0,             0.00491,             0.00491,             0.00491
                   8,            0.017254,           0.0052474,                   0,             0.98577,             0.94186,             0.98179,             0.77256,            0.014676,           0.0031054,                   0,            0.004895,            0.004895,            0.004895
                   9,            0.018042,           0.0054012,                   0,             0.97643,             0.96512,             0.98198,             0.77992,            0.013642,           0.0030704,                   0,             0.00488,             0.00488,             0.00488
                  10,            0.017021,           0.0053607,                   0,             0.98509,             0.93023,             0.98057,             0.78707,            0.013821,           0.0030692,                   0,            0.004865,            0.004865,            0.004865
                  11,            0.016854,           0.0050888,                   0,             0.99495,             0.94186,             0.98362,             0.78073,            0.014062,           0.0031837,                   0,             0.00485,             0.00485,             0.00485
                  12,            0.018842,           0.0058515,                   0,             0.98529,             0.95349,             0.98328,             0.80139,            0.014246,           0.0031373,                   0,            0.004835,            0.004835,            0.004835
                  13,            0.017615,           0.0055833,                   0,             0.98776,             0.93825,             0.98111,             0.78758,            0.014213,           0.0032217,                   0,             0.00482,             0.00482,             0.00482
                  14,            0.017306,           0.0054001,                   0,             0.98729,             0.93023,             0.98139,             0.80027,            0.013797,           0.0032386,                   0,            0.004805,            0.004805,            0.004805
                  15,             0.01701,           0.0052647,                   0,             0.97017,             0.95349,             0.98128,             0.77676,            0.014526,           0.0032622,                   0,             0.00479,             0.00479,             0.00479
                  16,            0.017392,            0.005311,                   0,             0.98746,             0.91559,             0.97998,             0.77382,            0.014814,           0.0033519,                   0,            0.004775,            0.004775,            0.004775
                  17,            0.015725,            0.005275,                   0,             0.99513,             0.90698,             0.97989,             0.78513,            0.014855,           0.0033339,                   0,             0.00476,             0.00476,             0.00476
                  18,             0.01728,           0.0055742,                   0,             0.98398,             0.95349,             0.98209,             0.78208,             0.01439,           0.0031767,                   0,            0.004745,            0.004745,            0.004745
                  19,            0.016964,           0.0055007,                   0,             0.97611,             0.95042,             0.98166,             0.78555,            0.014584,           0.0031776,                   0,             0.00473,             0.00473,             0.00473
                  20,            0.017756,           0.0055363,                   0,              0.9793,             0.93023,             0.98137,             0.78096,            0.014291,           0.0032269,                   0,            0.004715,            0.004715,            0.004715
                  21,            0.017393,           0.0059608,                   0,             0.98775,             0.93781,             0.97761,             0.78263,            0.014455,           0.0032728,                   0,              0.0047,              0.0047,              0.0047
                  22,            0.017728,           0.0057478,                   0,             0.95313,             0.94595,             0.97683,             0.78549,             0.01365,           0.0031591,                   0,            0.004685,            0.004685,            0.004685
                  23,            0.016776,           0.0056266,                   0,             0.99132,              0.9186,             0.97973,             0.77703,            0.014445,           0.0032846,                   0,             0.00467,             0.00467,             0.00467
                  24,            0.017147,           0.0054916,                   0,             0.97191,             0.94186,             0.97918,             0.77198,            0.014404,           0.0033684,                   0,            0.004655,            0.004655,            0.004655
                  25,            0.017803,           0.0056788,                   0,             0.98031,              0.9186,             0.97577,             0.78613,            0.014333,           0.0034156,                   0,             0.00464,             0.00464,             0.00464
                  26,            0.017853,           0.0053652,                   0,             0.96864,             0.93023,             0.97554,             0.77771,            0.013983,           0.0034241,                   0,            0.004625,            0.004625,            0.004625
                  27,            0.016771,           0.0054425,                   0,             0.97621,              0.9542,             0.98298,              0.7797,            0.013836,           0.0032283,                   0,             0.00461,             0.00461,             0.00461
                  28,            0.016121,           0.0050282,                   0,             0.98679,             0.94186,             0.98096,             0.79145,            0.014023,           0.0032213,                   0,            0.004595,            0.004595,            0.004595
                  29,            0.017438,           0.0056296,                   0,             0.97575,             0.93594,               0.981,             0.77696,              0.0145,           0.0032602,                   0,             0.00458,             0.00458,             0.00458
                  30,             0.01692,           0.0054326,                   0,             0.95615,              0.9186,             0.97722,             0.78337,             0.01433,           0.0034579,                   0,            0.004565,            0.004565,            0.004565
                  31,            0.016465,            0.005397,                   0,             0.96851,             0.94186,             0.97838,             0.77505,             0.01357,           0.0035445,                   0,             0.00455,             0.00455,             0.00455
                  32,            0.016428,           0.0051482,                   0,             0.98765,             0.93001,             0.97828,             0.78685,             0.01352,           0.0032718,                   0,            0.004535,            0.004535,            0.004535
                  33,            0.017266,           0.0057894,                   0,             0.96465,             0.95196,                0.98,             0.79513,            0.013988,           0.0032988,                   0,             0.00452,             0.00452,             0.00452
                  34,            0.016412,           0.0055107,                   0,             0.99935,             0.90698,             0.97492,             0.77853,            0.013633,           0.0034644,                   0,            0.004505,            0.004505,            0.004505
                  35,            0.017361,           0.0055389,                   0,             0.97248,             0.95349,             0.97846,              0.7746,            0.013991,           0.0035165,                   0,             0.00449,             0.00449,             0.00449
                  36,            0.016423,           0.0050751,                   0,             0.98599,             0.90698,             0.97373,              0.7808,            0.013392,            0.003318,                   0,            0.004475,            0.004475,            0.004475
                  37,            0.017585,           0.0054143,                   0,             0.94972,             0.94186,             0.98061,             0.78018,            0.013968,           0.0033084,                   0,             0.00446,             0.00446,             0.00446
                  38,            0.017283,           0.0053688,                   0,             0.97557,             0.92875,             0.98272,             0.78212,            0.013927,           0.0031502,                   0,            0.004445,            0.004445,            0.004445
                  39,            0.016448,           0.0051016,                   0,              0.9841,             0.95349,             0.98372,             0.78105,            0.014297,           0.0031551,                   0,             0.00443,             0.00443,             0.00443
                  40,            0.017088,           0.0054532,                   0,                   1,             0.93152,             0.98075,             0.77724,            0.013919,           0.0032521,                   0,            0.004415,            0.004415,            0.004415
                  41,            0.016739,           0.0053957,                   0,             0.99509,             0.94186,             0.98265,             0.78477,            0.014036,           0.0030749,                   0,              0.0044,              0.0044,              0.0044
                  42,            0.016195,           0.0053517,                   0,             0.96997,             0.95349,             0.98186,             0.78393,            0.013952,           0.0031315,                   0,            0.004385,            0.004385,            0.004385
                  43,            0.017113,           0.0054595,                   0,             0.98761,             0.95349,             0.98299,              0.7816,            0.014449,           0.0032156,                   0,             0.00437,             0.00437,             0.00437
                  44,             0.01712,           0.0054835,                   0,             0.95386,             0.96151,             0.98326,             0.78057,            0.013722,           0.0031518,                   0,            0.004355,            0.004355,            0.004355
                  45,            0.017495,           0.0055529,                   0,             0.99574,             0.93023,             0.98263,             0.77985,            0.013406,            0.003338,                   0,             0.00434,             0.00434,             0.00434
                  46,            0.016629,           0.0051849,                   0,             0.98765,             0.93005,             0.98191,             0.77634,            0.014269,           0.0032878,                   0,            0.004325,            0.004325,            0.004325
                  47,            0.017568,           0.0052499,                   0,             0.97264,             0.95349,              0.9827,             0.77916,            0.013616,           0.0031915,                   0,             0.00431,             0.00431,             0.00431
                  48,             0.01712,           0.0053828,                   0,             0.98769,              0.9327,             0.98243,             0.78321,            0.013955,           0.0032583,                   0,            0.004295,            0.004295,            0.004295
                  49,            0.015876,           0.0053586,                   0,              0.9545,             0.97569,             0.98368,             0.79835,            0.013815,           0.0031556,                   0,             0.00428,             0.00428,             0.00428
                  50,            0.016322,           0.0052831,                   0,             0.96192,             0.96512,             0.98269,             0.80049,             0.01401,           0.0030801,                   0,            0.004265,            0.004265,            0.004265
                  51,            0.015954,           0.0051199,                   0,              0.9654,             0.97342,             0.98441,             0.79273,            0.013893,           0.0031327,                   0,             0.00425,             0.00425,             0.00425
                  52,            0.016179,           0.0055194,                   0,             0.98746,             0.95349,             0.98473,             0.79006,            0.014358,            0.003045,                   0,            0.004235,            0.004235,            0.004235
                  53,            0.016973,           0.0053354,                   0,                   1,             0.94954,             0.98544,             0.79087,             0.01428,           0.0031055,                   0,             0.00422,             0.00422,             0.00422
                  54,            0.016294,           0.0052756,                   0,             0.99901,             0.95349,             0.98519,             0.79334,            0.014594,           0.0032185,                   0,            0.004205,            0.004205,            0.004205
                  55,            0.016432,            0.005192,                   0,             0.98778,             0.93961,             0.98356,             0.79882,            0.013577,           0.0031771,                   0,             0.00419,             0.00419,             0.00419
                  56,            0.016647,           0.0054608,                   0,             0.97641,              0.9624,             0.98399,             0.78345,             0.01378,           0.0031993,                   0,            0.004175,            0.004175,            0.004175
                  57,            0.015916,           0.0054592,                   0,             0.98205,             0.94186,             0.98343,              0.7737,            0.014413,           0.0032227,                   0,             0.00416,             0.00416,             0.00416
                  58,            0.016904,           0.0053566,                   0,             0.98809,             0.96434,               0.984,             0.78092,            0.014332,           0.0031833,                   0,            0.004145,            0.004145,            0.004145
                  59,            0.016488,           0.0055527,                   0,                   1,             0.94003,             0.98255,             0.78395,            0.014635,           0.0032079,                   0,             0.00413,             0.00413,             0.00413
                  60,            0.016464,           0.0052832,                   0,             0.96463,              0.9514,             0.98083,             0.78747,            0.014288,           0.0032716,                   0,            0.004115,            0.004115,            0.004115
                  61,            0.017035,           0.0054106,                   0,             0.98493,             0.93023,             0.97982,             0.78719,            0.013965,           0.0032523,                   0,              0.0041,              0.0041,              0.0041
                  62,            0.015969,           0.0052785,                   0,             0.97306,             0.95349,             0.98348,             0.78717,            0.014024,           0.0031286,                   0,            0.004085,            0.004085,            0.004085
                  63,            0.017147,           0.0054427,                   0,             0.96371,             0.96512,             0.98337,             0.79155,            0.014773,           0.0030712,                   0,             0.00407,             0.00407,             0.00407
                  64,            0.016294,           0.0049296,                   0,             0.95294,              0.9419,             0.98126,             0.79706,            0.013917,           0.0031425,                   0,            0.004055,            0.004055,            0.004055
                  65,            0.016627,             0.00503,                   0,             0.95492,             0.96512,             0.98221,              0.7824,            0.014625,           0.0032276,                   0,             0.00404,             0.00404,             0.00404
                  66,            0.015826,            0.004905,                   0,              0.9743,             0.96512,             0.98297,             0.79608,            0.013875,            0.003133,                   0,            0.004025,            0.004025,            0.004025
                  67,            0.016654,           0.0055654,                   0,             0.98793,             0.95188,             0.98356,             0.79722,            0.013379,           0.0030918,                   0,             0.00401,             0.00401,             0.00401
                  68,             0.01703,           0.0052735,                   0,             0.99607,             0.94186,             0.98301,             0.79318,            0.014077,           0.0031123,                   0,            0.003995,            0.003995,            0.003995
