   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.93375,             0.87209,             0.91609,             0.60104,            0.030796,             0.01206,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.95987,             0.83434,             0.93435,               0.575,            0.029863,           0.0087032,                   0,                0.01,                0.01,                0.98,             0.00048,               2.634,             0.72572,             0.09346,             0.05122,             0.59995,              1.2749,                   1,             0.81692,                 0.2,              2.8889,                   0,             0.01726,             0.88144,                 0.4,                   0,             0.11259,             0.58169,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
               0.928,             0.89919,              0.9578,             0.59981,            0.031747,             0.01287,                   0,             0.01034,                0.01,             0.93224,             0.00052,              3.1466,             0.70994,             0.09452,             0.05254,             0.42077,              1.0425,               1.092,              1.0032,                 0.2,              3.6226,                   0,             0.01367,                 0.7,             0.36686,                   0,             0.08372,             0.48853,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.95184,             0.91931,             0.96855,             0.63137,            0.029727,            0.011322,                   0,             0.00957,             0.01001,             0.92843,              0.0005,              3.0569,             0.82052,             0.10552,             0.05214,             0.48637,             0.98596,                   1,              1.0643,                 0.2,              3.8919,                   0,             0.01383,                 0.7,             0.43459,                   0,              0.1122,             0.52234,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.1374
             0.93901,             0.89506,             0.94816,             0.63424,            0.030805,            0.011576,                   0,                0.01,                0.01,             0.93319,             0.00053,                3.15,             0.77607,             0.08745,                0.05,                 0.5,             0.80888,                   1,             0.94889,                 0.2,                   4,                   0,             0.01157,             0.84484,             0.42203,                   0,             0.10745,             0.50072,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.95125,             0.84884,             0.94963,             0.59349,            0.032145,            0.013296,                   0,             0.00756,                0.01,               0.937,             0.00046,              2.7658,             0.67513,                 0.1,             0.05426,             0.58102,             0.94757,             0.96576,              1.0154,                 0.2,              4.1698,                   0,              0.0073,             0.65748,             0.41211,                   0,             0.07777,             0.53703,                   0,                   0,                   0,                 0.5,              0.8692,                   0,                   0,              3.9455
             0.88467,             0.89201,             0.92124,              0.5673,            0.027996,            0.014211,                   0,             0.01034,                0.01,             0.96097,             0.00034,              3.4378,             0.76316,             0.11035,             0.04359,             0.26116,             0.89844,             0.95397,              1.3251,                 0.2,              3.6226,                   0,             0.01322,             0.46628,             0.34622,                   0,             0.11929,             0.28104,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.4152
             0.91214,             0.84506,             0.92634,             0.60514,            0.029633,            0.012843,                   0,             0.00983,                0.01,             0.92297,             0.00053,              3.0815,             0.68258,             0.09633,             0.04886,             0.43337,              1.0142,              1.0417,              1.0425,                 0.2,              3.6872,                   0,             0.01193,                 0.7,             0.36873,                   0,             0.07735,             0.48853,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.89918,             0.83721,             0.90429,             0.52062,            0.039778,            0.014499,                   0,             0.00983,             0.01089,             0.89587,             0.00056,              3.4443,             0.61268,             0.08354,             0.05795,             0.40966,              1.1729,              1.0777,              1.0425,                 0.2,              4.0931,                   0,             0.00944,              0.6557,             0.33326,                   0,             0.08431,             0.47993,                   0,                   0,                   0,                 0.5,             0.96438,                   0,                   0,              2.6938
             0.97261,              0.8258,             0.95111,             0.56919,            0.036599,             0.01719,                   0,             0.00974,                0.01,             0.91953,             0.00056,              3.0815,             0.68258,             0.09633,             0.05446,             0.48821,              1.0142,               1.175,              1.2311,                 0.2,              4.0187,                   0,             0.01193,             0.72498,             0.27082,                   0,               0.083,             0.40604,                   0,                   0,                   0,                 0.5,             0.90758,                   0,                   0,              4.1669
