               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10695,            0.033751,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0883,              0.0013,              0.0013
                   1,            0.071347,            0.034398,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.075433,           0.0024327,           0.0024327
                   2,            0.054637,            0.033997,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.062288,           0.0032882,           0.0032882
                   3,            0.048927,            0.030711,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.048867,           0.0038665,           0.0038665
                   4,            0.046458,            0.028282,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.035168,           0.0041676,           0.0041676
                   5,            0.043393,            0.025736,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.021192,           0.0041915,           0.0041915
                   6,            0.040794,            0.024916,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069382,           0.0039382,           0.0039382
                   7,            0.036155,             0.02415,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   8,            0.034893,            0.022888,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.030661,            0.021889,                   0,             0.93375,             0.87209,             0.91609,             0.60104,            0.030796,             0.01206,                   0,             0.00208,             0.00208,             0.00208
                   0,             0.10719,            0.027263,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.08261,              0.0013,              0.0013
                   1,            0.076452,            0.024929,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070658,           0.0024327,           0.0024327
                   2,            0.061625,            0.023533,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.05843,           0.0032882,           0.0032882
                   3,              0.0534,            0.022079,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.045923,           0.0038665,           0.0038665
                   4,            0.050151,            0.020939,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.03314,           0.0041676,           0.0041676
                   5,             0.04372,            0.019791,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.02008,           0.0041915,           0.0041915
                   6,            0.040235,            0.018713,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006742,           0.0039382,           0.0039382
                   7,            0.035114,            0.017121,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   8,            0.033481,            0.015943,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.029016,            0.014807,                   0,             0.95987,             0.83434,             0.93435,               0.575,            0.029863,           0.0087032,                   0,             0.00208,             0.00208,             0.00208
                   0,             0.11324,             0.03691,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.083577,           0.0013442,           0.0013442
                   1,            0.078127,            0.036699,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.071515,           0.0025154,           0.0025154
                   2,             0.05991,            0.036011,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.059167,              0.0034,              0.0034
                   3,            0.053943,            0.032702,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.046532,            0.003998,            0.003998
                   4,            0.051522,            0.030508,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.03361,           0.0043093,           0.0043093
